Order Date,Total amount,Anomaly
2011-01-04,16.448,False
2011-01-05,288.06,False
2011-01-06,19.536,False
2011-01-07,4407.1,False
2011-01-08,87.15799999999999,False
2011-01-10,40.544,False
2011-01-11,54.83,False
2011-01-12,9.94,False
2011-01-14,3553.795,False
2011-01-15,61.96,False
2011-01-16,149.95,False
2011-01-17,299.964,False
2011-01-19,64.864,False
2011-01-20,378.594,False
2011-01-21,2673.87,False
2011-01-22,25.248,False
2011-01-24,46.019999999999996,False
2011-01-27,1097.25,False
2011-01-28,426.67,False
2011-01-29,3.928,False
2011-01-31,240.5,False
2011-02-01,290.666,False
2011-02-02,468.9,False
2011-02-03,211.64600000000002,False
2011-02-04,97.11200000000001,False
2011-02-05,134.38400000000001,False
2011-02-07,330.512,False
2011-02-08,180.32,False
2011-02-09,14.56,False
2011-02-12,2043.4,False
2011-02-13,129.568,False
2011-02-15,576.726,False
2011-02-16,21.36,False
2011-02-17,9.04,False
2011-02-18,54.208,False
2011-02-19,37.784,False
2011-02-21,95.59,False
2011-02-22,8.85,False
2011-02-23,19.44,False
2011-02-24,11.364,False
2011-02-25,55.672,False
2011-02-28,19.456,False
2011-03-01,2203.151,False
2011-03-02,202.384,False
2011-03-03,1345.8919999999998,False
2011-03-04,370.452,False
2011-03-05,705.562,False
2011-03-07,1561.062,False
2011-03-10,741.956,False
2011-03-11,918.314,False
2011-03-14,2108.55,False
2011-03-15,370.782,False
2011-03-16,471.92,False
2011-03-17,3960.358,False
2011-03-18,28106.715999999997,True
2011-03-19,590.7620000000001,False
2011-03-21,4109.816,False
2011-03-22,464.09299999999996,False
2011-03-23,945.064,False
2011-03-24,65.38,False
2011-03-25,459.146,False
2011-03-26,145.13,False
2011-03-28,1823.804,False
2011-03-29,890.841,False
2011-03-30,1170.3220000000001,False
2011-03-31,1959.552,False
2011-04-01,119.88799999999999,False
2011-04-02,1458.558,False
2011-04-03,233.45,False
2011-04-04,475.844,False
2011-04-05,5295.098,False
2011-04-06,1650.69,False
2011-04-07,1021.1700000000001,False
2011-04-08,1958.7500000000002,False
2011-04-11,1915.24,False
2011-04-12,1912.123,False
2011-04-13,638.576,False
2011-04-15,294.71999999999997,False
2011-04-16,39.072,False
2011-04-18,1020.532,False
2011-04-19,205.47,False
2011-04-20,1250.45,False
2011-04-21,845.36,False
2011-04-22,257.752,False
2011-04-23,643.98,False
2011-04-25,2379.9939999999997,False
2011-04-26,282.568,False
2011-04-28,2578.476,False
2011-04-29,768.8439999999999,False
2011-04-30,1048.74,False
2011-05-02,506.12,False
2011-05-03,72.632,False
2011-05-04,187.432,False
2011-05-05,260.977,False
2011-05-06,254.456,False
2011-05-07,1091.35,False
2011-05-08,1799.97,False
2011-05-09,394.48,False
2011-05-10,2343.799,False
2011-05-11,1642.802,False
2011-05-12,734.846,False
2011-05-13,898.3820000000001,False
2011-05-14,310.88,False
2011-05-16,289.28,False
2011-05-17,91.68,False
2011-05-18,948.9480000000001,False
2011-05-19,91.62,False
2011-05-20,320.10400000000004,False
2011-05-21,4264.3279999999995,False
2011-05-22,180.93,False
2011-05-23,323.75800000000004,False
2011-05-24,116.28,False
2011-05-25,119.53999999999999,False
2011-05-26,1325.718,False
2011-05-27,2157.394,False
2011-05-28,221.96800000000002,False
2011-05-30,1924.913,False
2011-05-31,773.7,False
2011-06-01,5188.5199999999995,False
2011-06-02,738.598,False
2011-06-03,741.336,False
2011-06-04,456.272,False
2011-06-06,1374.001,False
2011-06-07,281.397,False
2011-06-08,2501.264,False
2011-06-09,5463.008,False
2011-06-10,491.55,False
2011-06-13,14.52,False
2011-06-14,212.94,False
2011-06-15,942.9739999999999,False
2011-06-16,763.792,False
2011-06-17,3418.5020000000004,False
2011-06-18,139.8,False
2011-06-20,1828.9496,False
2011-06-21,4107.443,False
2011-06-22,1975.498,False
2011-06-23,109.49600000000001,False
2011-06-24,4.272,False
2011-06-25,792.76,False
2011-06-27,616.14,False
2011-06-28,1645.7909999999997,False
2011-06-29,46.68,False
2011-06-30,739.624,False
2011-07-01,601.0239999999999,False
2011-07-02,79.56,False
2011-07-04,247.40800000000002,False
2011-07-05,1444.104,False
2011-07-06,1038.472,False
2011-07-07,241.19400000000002,False
2011-07-08,763.0740000000001,False
2011-07-09,265.521,False
2011-07-11,2187.206,False
2011-07-12,1960.012,False
2011-07-13,351.216,False
2011-07-14,292.594,False
2011-07-15,9.51,False
2011-07-18,273.04,False
2011-07-19,461.326,False
2011-07-20,2285.786,False
2011-07-21,1961.482,False
2011-07-22,1348.344,False
2011-07-23,2613.184,False
2011-07-25,8341.289999999999,False
2011-07-26,5039.994,False
2011-07-27,580.06,False
2011-07-28,193.15200000000002,False
2011-07-30,1367.84,False
2011-08-01,228.328,False
2011-08-02,886.28,False
2011-08-03,477.994,False
2011-08-04,2743.154,False
2011-08-05,2408.7239999999997,False
2011-08-06,262.89,False
2011-08-08,3955.629,False
2011-08-09,3605.685,False
2011-08-11,451.62,False
2011-08-12,1832.38,False
2011-08-15,842.7819999999999,False
2011-08-16,853.092,False
2011-08-17,500.342,False
2011-08-19,1439.1060000000002,False
2011-08-20,1838.722,False
2011-08-22,23.104,False
2011-08-23,565.2239999999999,False
2011-08-24,59.739999999999995,False
2011-08-25,1451.6499999999999,False
2011-08-26,366.81,False
2011-08-27,2070.13,False
2011-08-29,832.3225,False
2011-08-30,121.24,False
2011-08-31,92.52,False
2011-09-01,469.43600000000004,False
2011-09-02,3254.15,False
2011-09-03,22.08,False
2011-09-05,296.304,False
2011-09-06,100.36,False
2011-09-07,3523.875,False
2011-09-08,14228.428,True
2011-09-09,4043.5879999999997,False
2011-09-10,1855.228,False
2011-09-11,127.95,False
2011-09-12,4904.66,False
2011-09-13,1275.408,False
2011-09-14,5023.716,False
2011-09-15,133.436,False
2011-09-16,33.552,False
2011-09-17,820.523,False
2011-09-19,9338.637,True
2011-09-20,5335.968,False
2011-09-21,2679.652,False
2011-09-22,1240.266,False
2011-09-23,10662.337000000001,True
2011-09-24,211.96,False
2011-09-25,354.8888,False
2011-09-26,1480.614,False
2011-09-27,773.4399999999999,False
2011-09-28,490.29200000000003,False
2011-09-29,8109.070000000001,False
2011-09-30,987.532,False
2011-10-01,4.71,False
2011-10-02,598.144,False
2011-10-03,862.683,False
2011-10-04,728.7479999999999,False
2011-10-05,191.9,False
2011-10-06,494.7099999999999,False
2011-10-07,237.35999999999999,False
2011-10-08,147.392,False
2011-10-09,249.36,False
2011-10-10,2049.386,False
2011-10-11,1381.164,False
2011-10-12,58.53,False
2011-10-13,2212.182,False
2011-10-14,4525.484,False
2011-10-15,206.724,False
2011-10-16,194.322,False
2011-10-17,136.068,False
2011-10-18,3134.916,False
2011-10-19,641.104,False
2011-10-20,1501.104,False
2011-10-21,1356.602,False
2011-10-22,223.808,False
2011-10-24,56.489999999999995,False
2011-10-25,103.882,False
2011-10-26,447.88,False
2011-10-27,22.32,False
2011-10-28,1510.582,False
2011-10-29,2813.8120000000004,False
2011-10-31,5362.026,False
2011-11-01,4732.08,False
2011-11-02,2126.37,False
2011-11-03,2784.163,False
2011-11-04,6693.748,False
2011-11-05,1694.5639999999999,False
2011-11-06,43.68,False
2011-11-07,1449.142,False
2011-11-08,333.576,False
2011-11-09,1574.094,False
2011-11-10,2002.556,False
2011-11-11,8114.548,False
2011-11-12,1054.7612,False
2011-11-14,1034.73,False
2011-11-15,1780.822,False
2011-11-16,1355.9285,False
2011-11-17,11544.274,True
2011-11-18,3406.855,False
2011-11-19,7226.086000000001,False
2011-11-20,907.5600000000001,False
2011-11-21,1249.622,False
2011-11-22,1103.298,False
2011-11-23,1363.28,False
2011-11-24,5578.606,False
2011-11-25,4415.695,False
2011-11-26,1705.99,False
2011-11-27,203.66,False
2011-11-28,2280.83,False
2011-11-29,649.0439999999999,False
2011-11-30,219.154,False
2011-12-01,5624.39,False
2011-12-02,1771.8079999999998,False
2011-12-03,505.88,False
2011-12-04,129.98,False
2011-12-05,2963.642,False
2011-12-06,1970.978,False
2011-12-07,548.4,False
2011-12-08,1095.12,False
2011-12-09,1522.652,False
2011-12-10,573.336,False
2011-12-12,4938.404500000001,False
2011-12-13,293.152,False
2011-12-14,7641.658,False
2011-12-15,1264.466,False
2011-12-16,4394.187,False
2011-12-17,45.534,False
2011-12-19,3436.7599999999998,False
2011-12-20,6962.44,False
2011-12-21,1933.44,False
2011-12-22,798.968,False
2011-12-23,942.108,False
2011-12-24,1950.202,False
2011-12-26,2041.414,False
2011-12-27,2966.388,False
2011-12-28,3732.2960000000003,False
2011-12-29,2072.096,False
2011-12-30,2172.651,False
2011-12-31,5253.27,False
2012-01-02,1932.096,False
2012-01-03,1768.2216,False
2012-01-04,264.46,False
2012-01-05,295.272,False
2012-01-06,31.538,False
2012-01-09,364.07,False
2012-01-10,1018.104,False
2012-01-12,854.614,False
2012-01-13,622.278,False
2012-01-17,350.384,False
2012-01-19,301.742,False
2012-01-23,43.66,False
2012-01-24,13.12,False
2012-01-26,182.72,False
2012-01-27,3573.252,False
2012-01-28,4297.644,False
2012-01-30,2161.6400000000003,False
2012-01-31,99.26,False
2012-02-03,492.836,False
2012-02-06,2432.544,False
2012-02-07,324.10999999999996,False
2012-02-08,129.09199999999998,False
2012-02-09,785.5519999999999,False
2012-02-10,77.24,False
2012-02-14,1079.962,False
2012-02-15,1602.38,False
2012-02-16,160.43,False
2012-02-18,105.844,False
2012-02-20,316.78000000000003,False
2012-02-21,2591.1,False
2012-02-22,79.36,False
2012-02-23,37.775999999999996,False
2012-02-25,25.869999999999997,False
2012-02-27,1159.271,False
2012-02-28,551.264,False
2012-02-29,259.456,False
2012-03-01,1382.7184,False
2012-03-02,899.5699999999999,False
2012-03-05,1969.267,False
2012-03-06,1555.244,False
2012-03-07,807.54,False
2012-03-08,2563.2960000000003,False
2012-03-09,478.008,False
2012-03-10,90.93199999999999,False
2012-03-12,51.016,False
2012-03-13,1384.856,False
2012-03-14,707.9000000000001,False
2012-03-15,16.776,False
2012-03-16,7230.209999999999,False
2012-03-17,48.84,False
2012-03-19,5652.9396,False
2012-03-20,1548.194,False
2012-03-21,1270.3790000000001,False
2012-03-22,2481.424,False
2012-03-23,633.302,False
2012-03-24,412.95,False
2012-03-26,4623.37,False
2012-03-27,83.7,False
2012-03-28,243.344,False
2012-03-29,1559.0800000000002,False
2012-03-30,571.224,False
2012-03-31,200.716,False
2012-04-02,299.22,False
2012-04-04,1484.598,False
2012-04-05,2974.058,False
2012-04-06,140.004,False
2012-04-07,907.436,False
2012-04-09,757.992,False
2012-04-10,169.542,False
2012-04-11,1328.346,False
2012-04-12,40.74,False
2012-04-13,3192.678,False
2012-04-14,35.208,False
2012-04-16,4161.972,False
2012-04-17,2745.106,False
2012-04-18,2006.96,False
2012-04-19,329.96,False
2012-04-20,1194.726,False
2012-04-21,893.09,False
2012-04-22,152.916,False
2012-04-24,25.99,False
2012-04-25,920.946,False
2012-04-26,2090.1055,False
2012-04-27,2719.59,False
2012-04-28,4044.3619999999996,False
2012-04-29,7.968,False
2012-04-30,1571.6950000000002,False
2012-05-01,450.94,False
2012-05-02,167.232,False
2012-05-03,2198.7599999999998,False
2012-05-04,1121.362,False
2012-05-07,305.622,False
2012-05-08,3981.968,False
2012-05-09,48.81,False
2012-05-10,154.442,False
2012-05-11,191.968,False
2012-05-12,1060.35,False
2012-05-13,238.384,False
2012-05-14,3141.1995,False
2012-05-15,69.908,False
2012-05-16,255.968,False
2012-05-17,134.46800000000002,False
2012-05-18,10.86,False
2012-05-20,169.54399999999998,False
2012-05-21,72.332,False
2012-05-22,3862.098,False
2012-05-23,1304.956,False
2012-05-24,610.3069999999999,False
2012-05-25,1739.418,False
2012-05-26,982.5640000000001,False
2012-05-28,794.146,False
2012-05-29,1204.842,False
2012-05-30,681.1,False
2012-05-31,5178.138,False
2012-06-01,834.198,False
2012-06-04,1192.3100000000002,False
2012-06-05,1533.1979999999999,False
2012-06-07,59.768,False
2012-06-08,1083.112,False
2012-06-09,797.116,False
2012-06-11,3373.5640000000003,False
2012-06-12,174.476,False
2012-06-13,1128.8980000000001,False
2012-06-14,51.072,False
2012-06-15,734.144,False
2012-06-16,3443.9040000000005,False
2012-06-18,1883.087,False
2012-06-19,446.34599999999995,False
2012-06-20,829.544,False
2012-06-21,107.976,False
2012-06-22,2018.953,False
2012-06-23,836.958,False
2012-06-25,857.08,False
2012-06-26,1592.196,False
2012-06-28,1386.466,False
2012-06-29,432.92600000000004,False
2012-07-02,1631.902,False
2012-07-03,823.982,False
2012-07-04,1138.288,False
2012-07-05,121.64599999999999,False
2012-07-06,1379.812,False
2012-07-08,21.12,False
2012-07-09,1587.114,False
2012-07-10,43.286,False
2012-07-11,1941.952,False
2012-07-12,2052.567,False
2012-07-13,2033.256,False
2012-07-14,860.916,False
2012-07-16,3029.386,False
2012-07-17,448.082,False
2012-07-18,672.418,False
2012-07-19,2.025,False
2012-07-20,2693.168,False
2012-07-23,208.272,False
2012-07-24,525.95,False
2012-07-25,2395.024,False
2012-07-26,969.225,False
2012-07-27,29.97,False
2012-07-30,443.802,False
2012-07-31,3712.1620000000003,False
2012-08-01,1011.696,False
2012-08-02,1290.478,False
2012-08-05,72.64999999999999,False
2012-08-06,494.86920000000003,False
2012-08-07,968.206,False
2012-08-08,840.102,False
2012-08-09,4878.392,False
2012-08-10,851.4739999999999,False
2012-08-11,196.112,False
2012-08-13,586.896,False
2012-08-15,497.59000000000003,False
2012-08-16,3378.9320000000002,False
2012-08-17,381.64,False
2012-08-21,2827.52,False
2012-08-22,66.632,False
2012-08-23,1202.278,False
2012-08-24,7194.775,False
2012-08-25,178.52599999999998,False
2012-08-27,639.9739999999999,False
2012-08-28,6491.293000000001,False
2012-08-29,246.5,False
2012-08-31,2601.797,False
2012-09-01,2367.564,False
2012-09-03,1874.8980000000001,False
2012-09-04,1071.284,False
2012-09-05,934.1030000000001,False
2012-09-06,1005.654,False
2012-09-07,2922.667,False
2012-09-08,89.64,False
2012-09-10,1415.7259999999999,False
2012-09-11,1962.1299999999999,False
2012-09-12,707.824,False
2012-09-13,3445.772,False
2012-09-14,3262.42,False
2012-09-15,2535.85,False
2012-09-16,31.12,False
2012-09-17,11525.006,True
2012-09-18,3924.32,False
2012-09-19,500.38,False
2012-09-20,1836.052,False
2012-09-21,6982.058,False
2012-09-22,1783.504,False
2012-09-24,4220.594,False
2012-09-25,3033.757,False
2012-09-26,3722.273,False
2012-09-27,2382.958,False
2012-09-28,1058.364,False
2012-10-01,1158.414,False
2012-10-02,1269.2659999999998,False
2012-10-03,275.21799999999996,False
