2026-07-10 02:38:13 | INFO | ETL Pipeline Started
2026-07-10 02:38:14 | INFO | Dataset loaded successfully: C:\Users\Dell\Desktop\marketmind-backend\app\etl\input\cleaned_dataset.csv
2026-07-10 02:38:14 | INFO | Rows: 51290, Columns: 33
2026-07-10 02:38:14 | INFO | Missing value analysis completed.
2026-07-10 02:38:14 | INFO | Duplicate rows found: 0
2026-07-10 02:38:14 | INFO | Invoice IDs generated successfully.
2026-07-10 02:38:14 | INFO | Stores table generated successfully. Total stores: 3812
2026-07-10 02:38:14 | INFO | created_by_user_id assigned to all transactions.
2026-07-10 02:38:14 | INFO | Dataset validation completed successfully.
2026-07-10 02:38:16 | INFO | Validated dataset saved at: C:\Users\Dell\Desktop\marketmind-backend\app\etl\output\validated_dataset.csv
2026-07-10 02:38:16 | INFO | ETL Pipeline Completed Successfully.
2026-07-10 02:45:35 | INFO | ETL Pipeline Started
2026-07-10 02:45:36 | INFO | Dataset loaded successfully: C:\Users\Dell\Desktop\marketmind-backend\app\etl\input\cleaned_dataset.csv
2026-07-10 02:45:36 | INFO | Rows: 51290, Columns: 33
2026-07-10 02:45:36 | INFO | Missing value analysis completed.
2026-07-10 02:45:36 | INFO | Duplicate rows found: 0
2026-07-10 02:45:36 | INFO | Invoice IDs generated successfully.
2026-07-10 02:45:36 | INFO | Stores table generated successfully. Total stores: 3812
2026-07-10 02:45:36 | INFO | created_by_user_id assigned to all transactions.
2026-07-10 02:45:36 | INFO | Dataset validation completed successfully.
2026-07-10 02:45:37 | INFO | Validated dataset saved at: C:\Users\Dell\Desktop\marketmind-backend\app\etl\output\validated_dataset.csv
2026-07-10 02:45:37 | INFO | Customers table generated successfully. Total customers: 1590
2026-07-10 02:45:37 | INFO | ETL Pipeline Completed Successfully.
2026-07-10 02:48:12 | INFO | ETL Pipeline Started
2026-07-10 02:48:12 | INFO | Dataset loaded successfully: C:\Users\Dell\Desktop\marketmind-backend\app\etl\input\cleaned_dataset.csv
2026-07-10 02:48:12 | INFO | Rows: 51290, Columns: 33
2026-07-10 02:48:13 | INFO | Missing value analysis completed.
2026-07-10 02:48:13 | INFO | Duplicate rows found: 0
2026-07-10 02:48:13 | INFO | Invoice IDs generated successfully.
2026-07-10 02:48:13 | INFO | Stores table generated successfully. Total stores: 3812
2026-07-10 02:48:13 | INFO | created_by_user_id assigned to all transactions.
2026-07-10 02:48:13 | INFO | Dataset validation completed successfully.
2026-07-10 02:48:14 | INFO | Validated dataset saved at: C:\Users\Dell\Desktop\marketmind-backend\app\etl\output\validated_dataset.csv
