Date,Actual,Predicted
2014-12-02,17209.156,23660.037813659375
2014-12-03,25986.83372,22341.44840048416
2014-12-04,23717.50958,23408.127951996044
2014-12-05,17065.345,20464.105588580398
2014-12-06,5283.508,9116.050366332827
2014-12-07,4389.32992,3195.774047264834
2014-12-08,18619.8606,20593.975488567325
2014-12-09,20608.6028,21969.324428235977
2014-12-10,25548.674,19192.514104555954
2014-12-11,19206.87518,18650.263850101852
2014-12-12,12083.5189,23280.069736507612
2014-12-13,16622.14026,14576.991499889142
2014-12-14,1309.264,568.3592157025647
2014-12-15,21374.216,20176.66953880347
2014-12-16,11568.2129,28378.876672163795
2014-12-17,16429.1869,20694.653335390958
2014-12-18,16123.57,20635.846620243618
2014-12-19,25753.1901,22755.99911851488
2014-12-20,7806.2602,8974.808921349899
2014-12-21,395.496,1006.0685392887912
2014-12-22,10355.855,15254.221603866119
2014-12-23,28096.0375,21807.47971406647
2014-12-24,20479.9147,17629.341957828525
2014-12-25,22701.69538,20453.709580903098
2014-12-26,26571.3444,24521.718328302977
2014-12-27,13421.26376,10169.991455551566
2014-12-28,1647.174,3976.798247779197
2014-12-29,25109.28878,22976.846115112156
2014-12-30,16831.6148,23748.433177087183
2014-12-31,13257.9543,23699.897556722008
