Date,Actual,Predicted
2014-12-01,6645.282,4554.745621649895
2014-12-02,5331.178,6611.370066522247
2014-12-03,9951.182,5974.128573961919
2014-12-04,1403.842,4572.300955149382
2014-12-05,2639.638,7747.209140493936
2014-12-06,1453.136,5089.509222610769
2014-12-07,10.68,3493.0529872986135
2014-12-08,2916.514,5859.443182156231
2014-12-09,7643.041,5616.676284355295
2014-12-10,5470.39,2321.4909408163885
2014-12-11,3873.559,2831.157254364152
2014-12-12,2823.965,3609.4147846056253
2014-12-14,580.936,1897.4068816008808
2014-12-15,3897.714,6199.862804640697
2014-12-16,306.88800000000003,6098.204917200353
2014-12-17,858.702,3371.9398879531686
2014-12-18,2027.758,3659.3258719572036
2014-12-19,3645.911,1347.213568928797
2014-12-20,1895.926,231.93892978849834
2014-12-21,377.73599999999993,-636.5797442434034
2014-12-22,2140.94,500.9134524631164
2014-12-23,7442.021,809.3324039495893
2014-12-24,1926.776,1469.6591148031237
2014-12-25,6233.054,3660.6611162672075
2014-12-26,2698.927,3513.9309499526526
2014-12-27,814.5939999999999,765.7573272287203
2014-12-28,177.636,1529.4089202141874
2014-12-29,1657.3508,1634.279171111148
2014-12-30,2915.534,2282.328822806323
2014-12-31,713.7900000000001,1230.4293532734926
