ds,y,Predicted Sales
2011-01-01,808.563,3448.126393230209
2011-01-02,314.22,664.5261826659038
2011-01-03,4503.5372,5972.994599250432
2011-01-04,2808.87024,5875.008488866797
2011-01-05,3662.31,5440.849030982046
2011-01-06,622.5381,5472.954737726562
2011-01-07,7123.0185,5508.294587384716
2011-01-08,6293.26,2158.3033049714477
2011-01-09,813.7494,-619.8889484479166
2011-01-10,6794.18116,4777.08821335037
2011-01-11,6451.2517,4739.466270187783
2011-01-12,2629.71652,4377.704789499204
2011-01-13,2584.595,4499.17016077116
2011-01-14,6280.4475,4635.151839931386
2011-01-15,2279.5306,1367.4263863673896
2011-01-16,149.95,-1317.0369593952335
2011-01-17,2309.52924,4244.216396246256
2011-01-18,932.763,4328.52487462882
2011-01-19,2054.691,4085.2195825135154
2011-01-20,2289.241,4325.660774159245
2011-01-21,8485.3576,4574.919829377127
2011-01-22,3564.1245,1384.984718524799
2011-01-23,2163.43,-1227.0561336115918
2011-01-24,3984.3813,4461.018774884353
2011-01-25,1191.622,4614.722054342256
2011-01-26,5422.6764,4423.680453013881
2011-01-27,2165.3999,4704.992438599753
2011-01-28,1208.122,4979.531341273964
2011-01-29,909.94,1771.7408798338874
2011-01-30,454.887,-868.7595171893438
2011-01-31,7642.585,4842.537046028544
2011-02-01,2455.67,4961.879292438062
2011-02-02,7712.6763,4721.730965988359
2011-02-03,366.644,4947.386392303001
2011-02-04,1866.782,5157.834131885445
2011-02-05,221.396,1852.0859443470576
2011-02-06,2.688,-885.8475914940852
2011-02-07,1799.1848,4792.389406071396
2011-02-08,1007.82,4835.0122507421975
2011-02-09,4575.80736,4518.191226081517
2011-02-10,11865.386,4675.906698897365
2011-02-11,1007.42736,4825.36465539388
2011-02-12,2870.8,1439.8604208093063
2011-02-13,129.568,-1362.8642747642048
2011-02-14,4603.894,4328.380516120575
2011-02-15,10346.901,4352.436298173755
2011-02-16,9333.6093,4027.5514505125357
2011-02-17,630.9812000000001,4194.520274971927
2011-02-18,2301.1240000000003,4366.700521864285
2011-02-19,156.134,989.4663389945391
2011-02-21,4485.643,4006.0286267124484
2011-02-22,2646.144,4098.733687762012
2011-02-23,4353.976,3848.264662975507
2011-02-24,5868.44554,4100.19496723568
2011-02-25,3393.51712,4362.194895674688
2011-02-26,4106.661,1050.117333158007
2011-02-27,624.96,-1656.7307764552354
2011-02-28,2418.317,4272.870654601582
2011-03-01,12565.7663,4453.7745832393375
2011-03-02,4148.3728,4283.667656460461
2011-03-03,9479.9366,4612.887819826358
2011-03-04,1243.073,4943.738691226227
2011-03-05,834.166,1663.1938226437326
2011-03-06,135.08,-1018.3784898597048
2011-03-07,3863.362,4990.957523174756
2011-03-08,9871.4036,5195.157490357836
2011-03-09,722.766,5033.085263551206
2011-03-10,4109.668,5361.626008818189
2011-03-11,2933.80812,5679.597941433616
2011-03-12,4636.7480000000005,2347.0253986143334
2011-03-14,6627.33,5614.853763254778
2011-03-15,1824.624,5764.6269587847555
2011-03-16,1160.882,5538.272312337215
2011-03-17,4614.013,5800.690186904448
2011-03-18,30117.5462,6048.472453633186
2011-03-19,971.462,2615.718407994356
2011-03-21,10681.92214,5757.589575829093
2011-03-22,3879.797,5835.806639138538
2011-03-23,5070.3631,5538.67289398345
2011-03-24,1363.384,5738.8133773908185
2011-03-25,3267.17126,5930.0621839317555
2011-03-26,856.445,2419.843679424157
2011-03-27,29.814,-481.90287997467817
2011-03-28,4261.49644,5504.452375921591
2011-03-29,2950.3782,5554.767728830714
2011-03-30,5760.5126,5234.996005120719
2011-03-31,7748.076,5424.128495636607
2011-04-01,2582.801,5611.873099832844
2011-04-02,8922.054,2077.637966998642
2011-04-03,879.26,-837.0969201190649
2011-04-04,5723.19948,5208.112834634602
2011-04-05,10266.5543,5277.95888991156
2011-04-06,4672.516,4978.954773985781
2011-04-07,3439.49,5195.703924593974
2011-04-08,6800.426,5413.210499804818
2011-04-09,367.365,1882.472666618135
2011-04-11,4548.4736,5095.9324104299985
2011-04-12,4013.325,5195.0321067899495
2011-04-13,3053.3892,4920.979629391729
2011-04-14,6250.894,5164.434648053115
2011-04-15,1727.692,5406.2607601669615
2011-04-16,4039.898,1869.7044185434663
2011-04-18,5905.0505,5138.850127373699
2011-04-19,2861.818,5250.776588305616
2011-04-20,4136.99,4984.435304975931
2011-04-21,4701.69,5237.283915415783
2011-04-22,7061.9661,5486.7309552311635
2011-04-23,772.14,1928.8814583653755
2011-04-24,165.816,-998.8130418784699
2011-04-25,5028.6025,5228.411802663252
2011-04-26,2086.2285,5344.063028462219
2011-04-27,8435.277,5078.993389423733
2011-04-28,3908.238,5337.540291942918
2011-04-29,3070.826,5593.631367505867
2011-04-30,1493.784,2016.1051460282567
2011-05-02,9275.207,5356.108678752242
2011-05-03,5259.2939,5483.32753633635
2011-05-04,7512.6567,5228.7412212179415
2011-05-05,2998.255,5503.163353616431
2011-05-06,5964.67968,5776.634366120693
2011-05-07,1983.514,2190.3347709701343
2011-05-08,2501.493,-753.9111195737788
2011-05-09,5018.48574,5591.722914755556
2011-05-10,5825.5265,5739.94251020166
