ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2011-01-01,4782.85826557552,-1600.5642927364581,8748.69842182862,4782.85826557552,4782.85826557552,-0.2790657381490904,-0.2790657381490904,-0.2790657381490904,-0.36206523611704444,-0.36206523611704444,-0.36206523611704444,0.08299949796795403,0.08299949796795403,0.08299949796795403,0.0,0.0,0.0,3448.126393230209
2011-01-02,4788.450514153639,-4365.20534699221,5934.988794827122,4788.450514153639,4788.450514153639,-0.8612231282955298,-0.8612231282955298,-0.8612231282955298,-0.9046160989915599,-0.9046160989915599,-0.9046160989915599,0.04339297069602996,0.04339297069602996,0.04339297069602996,0.0,0.0,0.0,664.5261826659038
2011-01-03,4794.0427627317595,1109.6885324091827,10970.5486942962,4794.0427627317595,4794.0427627317595,0.24592017528164,0.24592017528164,0.24592017528164,0.24284848169432208,0.24284848169432208,0.24284848169432208,0.003071693587317948,0.003071693587317948,0.003071693587317948,0.0,0.0,0.0,5972.994599250432
2011-01-04,4799.635011309879,712.2780982039287,11126.18498405868,4799.635011309879,4799.635011309879,0.22405317800684926,0.22405317800684926,0.22405317800684926,0.26147564034573517,0.26147564034573517,0.26147564034573517,-0.0374224623388859,-0.0374224623388859,-0.0374224623388859,0.0,0.0,0.0,5875.008488866797
2011-01-05,4805.227259887999,-217.81228102174836,10592.287032187525,4805.227259887999,4805.227259887999,0.1322771508436133,0.1322771508436133,0.1322771508436133,0.2098188291389224,0.2098188291389224,0.2098188291389224,-0.07754167829530911,-0.07754167829530911,-0.07754167829530911,0.0,0.0,0.0,5440.849030982046
2011-01-06,4810.819508466118,247.15478847009908,10973.525592751557,4810.819508466118,4810.819508466118,0.1376346021910016,0.1376346021910016,0.1376346021910016,0.2543791270002867,0.2543791270002867,0.2543791270002867,-0.11674452480928513,-0.11674452480928513,-0.11674452480928513,0.0,0.0,0.0,5472.954737726562
2011-01-07,4816.411757044239,120.97751956110896,10838.713246233387,4816.411757044239,4816.411757044239,0.1436510965509883,0.1436510965509883,0.1436510965509883,0.2981592569306055,0.2981592569306055,0.2981592569306055,-0.15450816037961723,-0.15450816037961723,-0.15450816037961723,0.0,0.0,0.0,5508.294587384716
2011-01-08,4822.004005622358,-3191.0971418956756,7653.876429488628,4822.004005622358,4822.004005622358,-0.5524053272342971,-0.5524053272342971,-0.5524053272342971,-0.36206523611667984,-0.36206523611667984,-0.36206523611667984,-0.1903400911176173,-0.1903400911176173,-0.1903400911176173,0.0,0.0,0.0,2158.3033049714477
2011-01-09,4827.596254200477,-5369.7004661642295,4844.739336089782,4827.596254200477,4827.596254200477,-1.128405300652173,-1.128405300652173,-1.128405300652173,-0.9046160989917247,-0.9046160989917247,-0.9046160989917247,-0.22378920166044833,-0.22378920166044833,-0.22378920166044833,0.0,0.0,0.0,-619.8889484479166
2011-01-10,4833.1885027785975,-277.2737982611264,10067.910440004775,4833.1885027785975,4833.1885027785975,-0.011607304245629002,-0.011607304245629002,-0.011607304245629002,0.24284848169490292,0.24284848169490292,0.24284848169490292,-0.2544557859405319,-0.2544557859405319,-0.2544557859405319,0.0,0.0,0.0,4777.08821335037
2011-01-11,4838.780751356717,-434.7578767180412,9937.09102041212,4838.780751356717,4838.780751356717,-0.02052469129565085,-0.02052469129565085,-0.02052469129565085,0.2614756403457318,0.2614756403457318,0.2614756403457318,-0.2820003316413826,-0.2820003316413826,-0.2820003316413826,0.0,0.0,0.0,4739.466270187783
2011-01-12,4844.372999934837,-1081.4223801696437,9590.492161512331,4844.372999934837,4844.372999934837,-0.09633201457482947,-0.09633201457482947,-0.09633201457482947,0.2098188291375725,0.2098188291375725,0.2098188291375725,-0.306150843712402,-0.306150843712402,-0.306150843712402,0.0,0.0,0.0,4377.704789499204
2011-01-13,4849.965248512956,-683.4499350961796,9659.757377599431,4849.965248512956,4849.965248512956,-0.0723294023290896,-0.0723294023290896,-0.0723294023290896,0.25437912700084486,0.25437912700084486,0.25437912700084486,-0.3267085293299345,-0.3267085293299345,-0.3267085293299345,0.0,0.0,0.0,4499.17016077116
2011-01-14,4855.557497091077,-1182.4422185301714,9868.365877860535,4855.557497091077,4855.557497091077,-0.045392451287361524,-0.045392451287361524,-0.045392451287361524,0.29815925693213585,0.29815925693213585,0.29815925693213585,-0.3435517082194974,-0.3435517082194974,-0.3435517082194974,0.0,0.0,0.0,4635.151839931386
