product_id,stock_quantity,low_stock_threshold
TEC-SHA-10000501,100,20
OFF-AP-10004246,100,20
TEC-MA-10004125,100,20
OFF-AP-10001630,100,20
FUR-TA-10000687,100,20
TEC-PH-10004327,100,20
FUR-TA-10003627,100,20
TEC-PH-10002898,100,20
TEC-MA-10003979,100,20
FUR-TA-10000347,100,20
TEC-MA-10003673,100,20
TEC-EPS-10000053,100,20
FUR-BAR-10004434,100,20
FUR-TA-10000022,100,20
FUR-TA-10002153,100,20
OFF-AP-10004350,100,20
OFF-AP-10003240,100,20
FUR-BO-10002866,100,20
TEC-CO-10002663,100,20
OFF-AP-10000136,100,20
FUR-LES-10002026,100,20
FUR-TA-10001285,100,20
FUR-TA-10001116,100,20
TEC-MA-10000010,100,20
FUR-BUS-10004644,100,20
OFF-AP-10002321,100,20
FUR-TA-10004711,100,20
FUR-CH-10000051,100,20
OFF-AP-10001329,100,20
OFF-AP-10003558,100,20
FUR-TA-10002101,100,20
OFF-AP-10003621,100,20
TEC-MA-10002927,100,20
TEC-CO-10002122,100,20
FUR-TA-10001229,100,20
TEC-PH-10000808,100,20
FUR-TA-10003641,100,20
FUR-TA-10002951,100,20
FUR-TA-10004745,100,20
FUR-CHR-10002165,100,20
FUR-BO-10003282,100,20
FUR-CH-10002980,100,20
FUR-CH-10004910,100,20
OFF-AP-10004186,100,20
FUR-TA-10002650,100,20
TEC-PH-10004182,100,20
FUR-BUS-10001781,100,20
FUR-TA-10000927,100,20
FUR-TA-10000226,100,20
FUR-TA-10003307,100,20
FUR-BO-10000160,100,20
OFF-AP-10000162,100,20
FUR-TA-10004744,100,20
OFF-AP-10000437,100,20
OFF-AP-10003057,100,20
FUR-TA-10001572,100,20
TEC-PH-10004057,100,20
TEC-MA-10001047,100,20
FUR-CHR-10001018,100,20
TEC-CO-10002043,100,20
FUR-TA-10004649,100,20
TEC-PH-10002936,100,20
TEC-PH-10003856,100,20
TEC-MA-10003353,100,20
FUR-BO-10000892,100,20
TEC-CO-10003226,100,20
TEC-PH-10002114,100,20
FUR-TA-10000991,100,20
FUR-CH-10000527,100,20
FUR-DAN-10002348,100,20
TEC-MA-10001695,100,20
FUR-TA-10002523,100,20
FUR-LES-10004886,100,20
FUR-CH-10000981,100,20
TEC-PH-10000030,100,20
TEC-CO-10001449,100,20
TEC-CO-10003087,100,20
TEC-PH-10001289,100,20
OFF-AP-10002904,100,20
TEC-MA-10000112,100,20
FUR-TA-10000989,100,20
FUR-TA-10002931,100,20
TEC-MA-10002937,100,20
TEC-MA-10004587,100,20
FUR-TA-10004416,100,20
FUR-TA-10003164,100,20
FUR-TA-10003319,100,20
OFF-CUI-10002022,100,20
OFF-HAM-10000983,100,20
FUR-CH-10001559,100,20
TEC-PH-10002652,100,20
TEC-CO-10002678,100,20
TEC-EPS-10004965,100,20
TEC-CO-10003019,100,20
FUR-CH-10000005,100,20
TEC-MA-10002629,100,20
FUR-TA-10003929,100,20
TEC-PH-10004626,100,20
OFF-AP-10000329,100,20
FUR-LES-10002616,100,20
FUR-BO-10000170,100,20
OFF-AP-10000423,100,20
OFF-AP-10000195,100,20
OFF-AP-10002306,100,20
TEC-MA-10002178,100,20
OFF-KIT-10001213,100,20
TEC-CO-10001864,100,20
OFF-AP-10003917,100,20
FUR-BO-10002529,100,20
TEC-MA-10004552,100,20
FUR-BO-10001318,100,20
OFF-AP-10001593,100,20
OFF-AP-10000672,100,20
OFF-HAM-10003040,100,20
FUR-TA-10000805,100,20
FUR-TA-10001205,100,20
OFF-AP-10003511,100,20
OFF-AP-10000975,100,20
TEC-CO-10001343,100,20
OFF-AP-10000509,100,20
FUR-BAR-10004682,100,20
FUR-TA-10001089,100,20
FUR-TA-10000971,100,20
TEC-PH-10001396,100,20
OFF-AP-10000577,100,20
TEC-MA-10003230,100,20
FUR-BO-10003985,100,20
TEC-PH-10002352,100,20
FUR-TA-10003690,100,20
FUR-FU-10002979,100,20
